tweet_id,sentiment,content
1956967341.0,empty,@tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part =[
1956967666.0,sadness,Layin n bed with a headache  ughhhh...waitin on your call...
1956967696.0,sadness,Funeral ceremony...gloomy friday...
1956967789.0,enthusiasm,wants to hang out with friends SOON!
1956968416.0,neutral,"@dannycastillo We want to trade with someone who has Houston tickets, but no one will."
1956968477.0,worry,Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends
1956968487.0,sadness,"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!"
1956968636.0,worry,Hmmm. http://www.djhero.com/ is down
1956969035.0,sadness,@charviray Charlene my love. I miss you
1956969172.0,sadness,@kelcouch I'm sorry  at least it's Friday?
1956969456.0,neutral,cant fall asleep
1956969531.0,worry,Choked on her retainers
1956970047.0,sadness,Ugh! I have to beat this stupid song to get to the next  rude!
1956970424.0,sadness,@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol
1956970860.0,surprise,Got the news
1956971077.0,sadness,The storm is here and the electricity is gone
1956971170.0,love,@annarosekerr agreed
1956971206.0,sadness,So sleepy again and it's not even that late. I fail once again.
1956971473.0,worry,@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know
1956971586.0,sadness,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend
1956971981.0,worry,@raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too
1956972097.0,fun,"Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore"
1956972116.0,neutral,No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via @bobdc) #topicmaps
1956972270.0,worry,I ate Something I don't know what it is... Why do I keep Telling things about food
1956972359.0,sadness,so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.
1956972444.0,worry,On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old
1956972557.0,sadness,"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!"
1956972884.0,worry,Damm servers still down  i need to hit 80 before all the koxpers pass me
1956973598.0,sadness,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!
1956973690.0,worry,I HATE CANCER. I HATE IT I HATE IT I HATE IT.
1956974706.0,hate,It is so annoying when she starts typing on her computer in the middle of the night!
1956975441.0,neutral,@cynthia_123 i cant sleep
1956975860.0,neutral,I missed the bl***y bus!!!!!!!!
1956975876.0,neutral,feels strong contractions but wants to go out.  http://plurk.com/p/wxidk
1956975927.0,neutral,SoCal!  stoked. or maybe not.. tomorrow
1956976187.0,neutral,Screw you @davidbrussee! I only have 3 weeks...
1956976312.0,sadness,@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?
1956976371.0,worry,I need skott right now
1956976557.0,neutral,has work this afternoon
1956976681.0,neutral,@GABBYiSACTiVE Aw you would not unfollow me would you? Then I would cry
1956977084.0,happiness,mmm much better day... so far! it's still quite early. last day of #uds
1956977187.0,fun,@DavidArchie &lt;3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform
1956977618.0,worry,just picked up her Blackberry from the middle of the street! Both she and it are crushed!
1956977624.0,worry,Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something...
1956978276.0,empty,@creyes middle school and elem. High schools will remain open for those who need credits to graduate. Cali is broken
1956978410.0,worry,"Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don't feel very well right now"
1956978668.0,worry,"@onscrn Ahh.  ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also"
1956979150.0,sadness,I'm having a problem with my photo here in twitter amf!!!...can't see my face!
1956979437.0,neutral,"@jakeboyd, oh noooo!  if i blow a tire you're reaaaally going to have to send up some batman smoke."
1956979756.0,neutral,wnna take a bath!!!!
1956979894.0,neutral,Chocolate milk is so much better through a straw. I lack said straw
1956979900.0,worry,why am i so tired?
1956979917.0,empty,@djmicdamn hey yu lil fucker i textd yu
1956980788.0,neutral,"@Mennard time diff and i've just been wrapped up in day to day stuff so i havent been tweeting. talk soon,must sleep...up in 6hrs"
1956980883.0,neutral,@benballer  no way! damn that sucks B!  are you ok?
